,prescence of camera cut
311,0.09438039936836645
312,0.0899434428196799
313,0.08080839709966071
314,0.0716248921390647
315,0.07209197008399924
316,0.06841356012695188
317,0.0515707253068442
318,0.0675134483981782
319,0.08911366004742571
320,0.10838297499982855
321,0.11116850728897183
322,0.09953251827518989
323,0.10815670122352813
324,0.1483343983831335
325,0.1452494014478349
326,0.11489961085275227
327,0.09089249228171692
328,0.07843252480033078
329,0.07351448536848776
330,0.06695208493791012
331,0.05100000557124535
332,0.02762926166301062
333,0.022540215797964204
334,0.031234837919360516
335,0.03716063393751906
336,0.04538429642015761
337,0.05162022922396673
338,0.04798037927112039
339,0.044903982563209516
340,0.0586750269539601
341,0.08173884939865939
342,0.09265520752013973
343,0.07693139538081825
344,0.07784632058180646
345,0.08960192462871429
346,0.07892393643024243
347,0.08409885786610247
348,0.08037997193407158
349,0.056478478652784304
350,0.059769699113385824
351,0.08421116921014737
352,0.11139778005946989
353,0.12337064551354088
354,0.09896176953006737
355,0.05933725582129481
356,0.02105115467276748
357,-0.0031209885226267378
358,0.0022682747696852737
359,0.03239420212421067
360,0.0459705609865283
361,0.04658768069215613
362,0.0397684246021639
363,0.032677226975398675
364,0.030365378507513315
365,0.0708218566255243
366,0.11571997872798234
367,0.1440790061093168
368,0.16121623363647578
369,0.18102745275752774
370,0.22282881634767482
371,0.2278746571196314
372,0.2162185690968894
373,0.16784522144275452
374,0.11290954343439534
375,0.08113322285063979
376,0.08003914692016635
377,0.09932414040069218
378,0.12581691270390596
379,0.13063727802686356
380,0.11111175593094567
381,0.08959334853981907
382,0.06661812042162331
383,0.05747349639626477
384,0.06481815644297104
385,0.11089311718502916
386,0.19456516023254522
387,0.22228966880869416
388,0.2047813116231615
