,presence/absence of medium_length
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.019130351982152304
358,0.23597486350344457
359,0.4077528516930331
360,0.3051905844909294
361,0.1416903942497704
362,0.034974248815919456
363,-0.01727387173308529
364,-0.035674532404946835
365,-0.03486662987912979
366,-0.02579689012942365
367,-0.015884477231251762
368,-0.008488165569442003
369,-0.004039362695139747
370,-0.0017437777391729119
371,-0.0006925926233961772
372,-0.00025299473026104525
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
