,presence/absence of delayed_camera_cuts
378,0.7994766468918058
379,1.1682994556664144
380,1.7289482438178636
381,1.7320525976933197
382,1.344529910420754
383,0.9808253194599467
384,0.5730419215065004
385,0.3231702312790993
386,0.4713628550509619
387,1.364171388190253
388,2.6857255376386053
