,presence/absence of delayed_camera_cuts
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,0.9808696480178477
334,0.7640251364965555
335,0.5922471483069669
336,0.6948094155090705
337,0.8583096057502296
338,0.9650257511840806
339,0.998143519750933
340,0.7996996689015023
341,0.6271137781860967
342,0.7206063056384943
343,0.8741940829814814
344,0.9735139167535225
345,1.021313234428225
346,1.0374183101441197
347,1.0355592225025259
348,1.0260498848596848
349,1.0158844772312516
350,1.008488165569442
351,1.0040393626951398
352,1.001743777739173
353,1.000692592623396
354,1.000252994730261
355,1.0
356,0.9808696480178477
357,0.7448947845144032
358,0.33714193282137006
359,0.05108170031259292
360,0.14536616956626713
361,0.5181447724433809
362,0.8406092286673955
363,0.9988438033399604
364,0.8518401705137173
365,0.6885852007204672
366,0.7713574127488758
367,0.9084791386803471
368,0.9934377566799142
369,1.03154517773684
370,1.0421502654626558
371,1.0375559949719597
372,1.026742477483081
373,1.0161374719615128
374,1.008488165569442
375,1.0040393626951398
376,1.001743777739173
377,1.000692592623396
378,1.000252994730261
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
