,presence/absence of delayed_scene_cuts
190,-0.02051282051282055
191,-0.02051282051282055
192,-0.02051282051282055
193,-0.02051282051282055
194,-0.02051282051282055
195,-0.02051282051282055
196,-0.02051282051282055
197,-0.02051282051282055
198,-0.02051282051282055
199,-0.02051282051282055
200,-0.02051282051282055
201,-0.02051282051282055
202,-0.02051282051282055
203,-0.0013824685306682485
204,0.21546204299062405
205,0.38724003118021255
206,0.28467776397810884
207,0.12117757373694983
208,0.014461428303098902
209,-0.037786692245905834
210,-0.056187352917767386
211,-0.055379450391950344
212,-0.046309710642244206
213,-0.03639729774407231
214,-0.029000986082262554
215,-0.0245521832079603
216,-0.022256598251993463
217,-0.021205413136216728
218,-0.020765815243081596
219,-0.02051282051282055
220,-0.02051282051282055
221,-0.02051282051282055
222,-0.02051282051282055
223,-0.02051282051282055
224,-0.02051282051282055
225,-0.02051282051282055
226,-0.02051282051282055
227,-0.02051282051282055
228,-0.02051282051282055
229,-0.02051282051282055
230,-0.02051282051282055
231,-0.02051282051282055
232,-0.02051282051282055
233,-0.02051282051282055
234,-0.02051282051282055
235,-0.02051282051282055
236,-0.02051282051282055
237,-0.02051282051282055
238,-0.02051282051282055
239,-0.02051282051282055
240,-0.02051282051282055
241,-0.02051282051282055
242,-0.02051282051282055
243,-0.02051282051282055
244,-0.02051282051282055
245,-0.02051282051282055
246,-0.02051282051282055
247,-0.02051282051282055
248,-0.0013824685306682485
249,0.21546204299062405
250,0.38724003118021255
251,0.28467776397810884
252,0.12117757373694983
253,0.014461428303098902
254,-0.037786692245905834
255,-0.056187352917767386
256,-0.055379450391950344
257,-0.046309710642244206
258,-0.03639729774407231
259,-0.029000986082262554
260,-0.0245521832079603
261,-0.022256598251993463
262,-0.021205413136216728
263,-0.020765815243081596
264,-0.02051282051282055
265,-0.02051282051282055
266,-0.02051282051282055
267,-0.02051282051282055
268,-0.02051282051282055
269,-0.02051282051282055
270,-0.02051282051282055
271,-0.02051282051282055
272,-0.02051282051282055
273,-0.02051282051282055
274,-0.02051282051282055
275,-0.02051282051282055
276,-0.02051282051282055
277,-0.02051282051282055
