,camera_cut,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,drift_14,drift_15,constant
20,1.0569235924622595,0.07144582456996981,0.07067472806862576,0.06939572593768999,0.06761800975667491,0.06535435512558396,0.0626210298527554,0.05943767704586741,0.05582717394627312,0.05181546752115666,0.04743138799503063,0.042706441660635676,0.03767458445821156,0.032371977950317564,0.026836729445895165,0.02110861814117782,1.0
22,1.031134246186722,0.07139444850304115,0.07047003585424762,0.06893820400245108,0.06681215663161844,0.0641102192893939,0.060855681429331496,0.05707659566654825,0.05280553597712185,0.048079316925442386,0.04293867633964902,0.037427924170342665,0.031594560559250924,0.02548886640991706,0.0191634699895047,0.01267289329741101,1.0
24,1.0152448417354651,0.07133841590375212,0.07024695898063409,0.06844021685964584,0.06593658657767358,0.06276156119103776,0.058947470194066404,0.0545331503260725,0.049563550118722904,0.04408927221046963,0.03816605808839798,0.03185422050407493,0.025218029342787208,0.01832505719951669,0.011245491325284044,0.004051418949923414,1.0
26,1.0067475849707135,0.07127773042669515,0.07000555564546107,0.0679020568167602,0.06499221323179301,0.06131057961874137,0.05690087580138602,0.051815467521156656,0.04611474458791285,0.03986640374398674,0.03314464475756005,0.026029289291858923,0.018604833013696878,0.010959442197685848,0.003183906741556546,-0.004629437974348528,1.0
28,1.0027003325796102,0.07121239602993557,0.06974588882752517,0.06732403976188779,0.06398002202556163,0.05975964018407147,0.05472070276950082,0.04893223045015349,0.04247351062237306,0.03543301137421548,0.027907169696919233,0.01999907054260417,0.011817034821759343,0.0034731356813751104,-0.004918336613052495,-0.013242440164420432,1.0
30,1.0009514439675509,0.07114241697475329,0.06946802627031343,0.06670650497831052,0.06290106915692162,0.05811127146515479,0.05241206920147562,0.04589265126958846,0.03865504242861463,0.030812506670267685,0.022487774709161298,0.013811123324902917,0.004918336613052488,-0.0040514189499234205,-0.012957772373815143,-0.021661344871710213,1.0
32,1.0002560911427536,0.07106779782536506,0.06917204046433006,0.06604981494534674,0.06175648048805446,0.05636816088420409,0.049980394770137875,0.042706441660635676,0.03467527377932033,0.026029289291858923,0.016921787487918293,0.00751425067864626,-0.0020265189964822406,-0.011531357087057522,-0.02083173623453567,-0.029762754278959323,1.0
34,0.9999999999999998,0.07098854344862661,0.06885800862818457,0.06535435512558396,0.060547450370570084,0.0545331503260725,0.04743138799503063,0.03938378179957543,0.03055081152461186,0.02110861814117782,0.011245491325284044,0.001158114715699922,-0.008952356214848333,-0.018884305462692656,-0.028439676979826946,-0.03742792417034266,1.0
36,0.9999999999999998,0.07090465901371538,0.06852601268844655,0.06462053373862066,0.05927524039922867,0.05260923150497902,0.04477103284127823,0.03593528783137505,0.026298866294687147,0.016076477977323533,0.005495888590019526,-0.005207155054740314,-0.015794177733055623,-0.02602928929185896,-0.03568444053303033,-0.04454450439267537,1.0
38,0.9999999999999998,0.07081614999179325,0.06817613925827215,0.06384878152145053,0.05794117809549602,0.05059954108695967,0.042005574671825224,0.032371977950317564,0.021937180682993544,0.010959442197685848,-0.000289540481724062,-0.011531357087057506,-0.0224877747091613,-0.03288762401162684,-0.042473510622373076,-0.051008185597376576,1.0
40,0.9999999999999998,0.07072302215564975,0.06780847961480792,0.06303955147562923,0.05654665552230573,0.048507355575995774,0.039141505586025964,0.028705237196052707,0.01748395520961505,0.0057845325108822196,-0.0060730821107815875,-0.017764613728258816,-0.02897032935273881,-0.03938378179957542,-0.048720190221947214,-0.05672422812651605,1.0
42,0.9999999999999998,0.07062528157932553,0.06742312967537784,0.062193318601372456,0.055093127831474034,0.0463360859721572,0.03618554917900409,0.02494678107755004,0.012957772373815136,0.0005790762422822735,-0.01181703482175935,-0.023857764592547518,-0.035181004454663864,-0.0454462233284666,-0.05434470868040338,-0.061608850633710084,1.0
44,0.9999999999999998,0.0705229346377162,0.06702018997245979,0.061310579618741375,0.05358211174528274,0.04408927221046963,0.03314464475756006,0.02110861814117782,0.008377519112650009,-0.004629437974348528,-0.017483955209615057,-0.02976275427895931,-0.041061514329623496,-0.051008185597376555,-0.05927524039922867,-0.06559045808653144,1.0
46,0.9999999999999998,0.07041598800615655,0.0665997656274581,0.06039185267607876,0.05201518397381488,0.041770577389572246,0.03002593104968083,0.01720301160250568,0.003762307989218225,-0.009813505357032395,-0.02303690202394125,-0.035433011374215485,-0.04655667181319106,-0.05600841716324775,-0.06344882205199669,-0.06861069115132082,1.0
48,0.9999999999999998,0.07030444865998516,0.06616196632327877,0.05943767704586741,0.05039397956969448,0.03938378179957543,0.026836729445895165,0.013242440164420409,-0.0008686025605858654,-0.014945750221036816,-0.028439676979826946,-0.04082381575167676,-0.05161490618003056,-0.06039185267607876,-0.06681215663161845,-0.07062528157932553,1.0
50,0.9999999999999998,0.07018832387408944,0.06570690627571465,0.05844861280818904,0.04872019022194721,0.036932776758854924,0.023584526811815977,0.009239558146743609,-0.005495888590019549,-0.01999907054260419,-0.033657060725511355,-0.04589265126958848,-0.056188747122694636,-0.06411021928939392,-0.06932229405784,-0.07160470105657493,1.0
52,0.9999999999999998,0.07006762122243115,0.06523470420364828,0.05742524052196964,0.046995562490762324,0.034421558269830885,0.020276957912219045,0.00520715505474029,-0.010100241276803767,-0.024946781077550044,-0.03865504242861462,-0.050599541086959694,-0.06023527024899076,-0.06712256826785996,-0.07094717965356866,-0.07153459400715087,1.0
54,0.9999999999999998,0.06994234857755242,0.06474548329807962,0.05636816088420409,0.04522189598499777,0.03185422050407493,0.016921787487918293,0.001158114715699906,-0.014662447495323763,-0.029762754278959323,-0.043401041484330355,-0.05490736295251085,-0.06371649991703143,-0.06939572593769,-0.07166606348593632,-0.07041598800615655,1.0
56,0.9999999999999998,0.06981251411006228,0.06423937118998731,0.055277994377360404,0.04340104148433034,0.029234949127366985,0.013526892027513747,-0.0028946258858484545,-0.019163469989504706,-0.03442155826983088,-0.04786411990031853,-0.05878214198007182,-0.06659976562745812,-0.07090465901371538,-0.07146976534477881,-0.06826527871831252,1.0
58,0.9999999999999998,0.06967812628810371,0.06371649991703142,0.054155380905170004,0.041534899008010086,0.02656801447558412,0.01010024127680376,-0.006938117942762273,-0.023584526811815987,-0.038898591142074126,-0.052015183973814896,-0.062193318601372456,-0.06885800862818457,-0.07163275027994018,-0.07036079197473208,-0.0651139895829384,1.0
60,0.9999999999999998,0.0695391938768014,0.06317700588910678,0.053000979417018465,0.039625415832234584,0.02385776459254751,0.006649879529269998,-0.010959442197685871,-0.027907169696919254,-0.04317021087265963,-0.05582717394627313,-0.0651139895829384,-0.07047003585424762,-0.07157198158762877,-0.06835330506388138,-0.06100830976767248,1.0
62,0.9999999999999998,0.06939572593768999,0.0626210298527554,0.051815467521156656,0.03767458445821156,0.021108618141177805,0.003183906741556546,-0.014945750221036832,-0.03211336104292146,-0.04721386017087159,-0.059275240399228685,-0.06752112020624224,-0.0714207188196015,-0.07072302215564974,-0.06547294039775105,-0.056008417163247726,1.0
64,0.9999999999999998,0.0692477318281231,0.06204871685444773,0.05059954108695968,0.03568444053303031,0.018325057199516704,-0.00028954048172404604,-0.018884305462692656,-0.0361855491790041,-0.051008185597376555,-0.06233690624150282,-0.06939572593768999,-0.07170113559430438,-0.06909522120066301,-0.06175648048805446,-0.05018759634234489,1.0
66,0.9999999999999998,0.06909522120066301,0.061460216202741946,0.049353913836466805,0.03365706072551135,0.015511619953359241,-0.0037623079892182484,-0.022762523946214086,-0.04010674160535065,-0.0545331503260725,-0.06499221323179301,-0.07072302215564975,-0.07130865453467526,-0.06670650497831052,-0.05725138485676393,-0.04363116441080208,1.0
