,presence/absence of speaking
310,0.041874932066271325
311,0.041171733177202796
312,0.040619281637061924
313,0.04026646963850858
314,0.04007844938020624
315,0.03998810852034383
316,0.03994628915063234
317,0.03993252604572392
318,0.039924714118406285
319,0.039924714118406285
320,0.039924714118406285
321,0.039924714118406285
322,0.039924714118406285
323,0.039924714118406285
324,0.039924714118406285
325,0.039924714118406285
326,0.039924714118406285
327,0.039924714118406285
328,0.039924714118406285
329,0.039924714118406285
330,0.039924714118406285
331,0.0388005562801717
332,0.027637902549231128
333,0.023348868418107203
334,0.029245060985900323
335,0.03554153432640261
336,0.039222383527044484
337,0.03979481687905704
338,0.029133697291966652
339,0.024688908529588223
340,0.03018433196698838
341,0.03609612968816672
342,0.03950855657252688
343,0.04105113494686552
344,0.04147609133576171
345,0.04128632926211337
346,0.04087179702681197
347,0.040479309480170395
348,0.040210887163888674
349,0.04005687434798017
350,0.03998029659302619
351,0.03994628915063234
352,0.03993252604572392
353,0.039924714118406285
354,0.0388005562801717
355,0.026513744710996545
356,0.009937899010697469
357,0.0003824037164260939
358,0.008286035493597578
359,0.024159550602534864
360,0.03583346433392617
361,0.04058828103043077
362,0.03146799800233302
363,0.0271239742534118
364,0.032078967440233516
365,0.03732157371473717
366,0.04019531216386489
367,0.04139289046696781
368,0.04162982659756166
369,0.041349723664050916
370,0.040893372059038036
371,0.04048712140748803
372,0.040210887163888674
373,0.04005687434798017
374,0.03998029659302619
375,0.03994628915063234
376,0.03993252604572392
377,0.039924714118406285
378,0.039924714118406285
379,0.039924714118406285
380,0.039924714118406285
381,0.039924714118406285
382,0.039924714118406285
383,0.039924714118406285
384,0.039924714118406285
385,0.039924714118406285
386,0.039924714118406285
387,0.039924714118406285
388,0.039924714118406285
