,presence/absence of camera_cuts
316,1.6423684171183481
317,1.3456664149530608
318,1.5300584946392348
319,2.0011070295996474
320,2.3867198390605404
321,2.5488392674815454
322,2.442370017873
323,2.6919773496730173
324,3.1144319808884
325,3.00897906626939
326,2.551912191149929
327,2.1736683077660706
328,1.9719245900851958
329,1.8747592419110464
330,1.6302006363962391
331,1.2270722101129659
332,0.7555442197477873
333,0.6849295648975499
334,0.9410290867768718
335,1.0285338490655094
336,1.030952643832821
337,1.2109957892682917
338,1.177954635524678
339,1.1365181524002643
340,1.5026897613819472
341,2.0655752397659985
342,2.2017966625622942
343,1.8022040577354286
344,1.7715432101591144
345,1.8596547034959547
346,1.7698702937222455
347,1.8022392358091202
348,1.6759261095711686
349,1.3769231011352596
350,1.5531503596335292
351,2.015388514498328
352,2.3944098142444665
353,2.5333086803013978
354,2.131364529449858
355,1.2836265806431453
356,0.4322976898809608
357,-0.04868194803008642
358,0.19996855649392092
359,0.7604876170187111
360,1.0255330072965547
361,1.066148467307821
362,0.8464266927860155
363,0.6516154750416951
364,0.784348436032982
365,1.597285493577477
366,2.483066758995573
367,3.084917605415787
368,3.5356535571480516
369,4.012497739793439
370,4.4399307383206645
371,4.469657132854945
372,4.0827595957694385
373,3.301361572104168
374,2.486482179893928
375,1.974052130335103
376,1.8000360447076553
377,2.2199304358047076
378,2.829126481297449
379,2.8664072517320776
380,2.498782146188274
381,2.145139090837605
382,1.7420664228077873
383,1.493953124152927
384,1.6431577268458337
385,2.535966259985125
386,3.857520409433478
387,4.378348587400434
388,3.98434794088165
