Clip_Filename,Average_Motion_Energy
clip307.mov,30.15248781028369
clip308.mov,33.33169291611258
clip309.mov,7.051301737034575
clip310.mov,25.70390486480496
clip311.mov,16.533796334773935
clip312.mov,29.06238854449729
clip313.mov,23.56914408798759
clip314.mov,65.73879065547429
clip315.mov,46.476939619348414
clip316.mov,53.6322130568484
clip317.mov,15.505223570478726
clip318.mov,10.901798675753547
clip319.mov,6.229283023049648
clip320.mov,6.344993558843084
clip321.mov,39.05964407413564
clip322.mov,28.105397412455673
clip323.mov,5.325581089317377
clip324.mov,5.391834275265959
clip325.mov,11.22472850177305
clip326.mov,4.974128366023936
clip327.mov,15.870140043218084
clip328.mov,0.27805262355939714
clip329.mov,0.014529310726950356
clip330.mov,0.014853100066489362
clip331.mov,0.6559795406693263
clip332.mov,0.2589726008421986
clip333.mov,0.25614526721014486
clip334.mov,0.8873240802304962
clip335.mov,0.4687174479166667
clip336.mov,0.24822279476950357
clip337.mov,0.885187070589539
clip338.mov,4.035998794880322
clip339.mov,1.7373064189937937
clip340.mov,0.8312732020168441
clip341.mov,0.818197999778369
clip342.mov,2.168423093971631
clip343.mov,1.5541947168661343
clip344.mov,1.4584884751773053
clip345.mov,1.2254131344193262
clip346.mov,1.398452044547872
clip347.mov,0.6803284990026596
clip348.mov,1.9932471742021274
clip349.mov,1.4574935588430857
clip350.mov,1.1112332391400708
clip351.mov,0.17643575465425532
clip352.mov,0.2725835272606382
clip353.mov,0.05915925587322694
clip354.mov,0.036342985733695654
clip355.mov,0.035510859929078015
clip356.mov,2.511051085992908
clip357.mov,1.8652856272163114
clip358.mov,1.664812929410461
clip359.mov,3.2627898520611693
clip360.mov,0.06521706006205673
clip361.mov,4.082306557513298
clip362.mov,10.539702113807625
clip363.mov,19.745757147606383
clip364.mov,8.532997077238475
clip365.mov,37.80739763408688
clip366.mov,30.0430352393617
clip367.mov,51.70703228889628
clip368.mov,35.60442327404698
clip369.mov,41.72626122007979
clip370.mov,23.12242665392287
clip371.mov,28.55427540447695
clip372.mov,39.2509505900931
clip373.mov,31.589305948027476
clip374.mov,7.1952643644725205
clip375.mov,34.22154664855073
clip376.mov,19.656768062943264
clip377.mov,14.90006129488032
clip378.mov,9.807149337876774
clip379.mov,19.36836006759752
clip380.mov,10.11772807236259
clip381.mov,15.589526540336875
clip382.mov,3.885725218860816
clip383.mov,23.236488807624117
clip384.mov,34.94999792220745
clip385.mov,11.298264004321805
clip386.mov,31.487647869570043
clip387.mov,6.528193567154252
clip388.mov,8.036916486591315
clip389.mov,28.3791259765625
