Clip_Filename,Average_Pitch_Hz,Average_Amplitude
clip130.mov,697.7034912109375,0.020281720906496048
clip131.mov,868.7415771484375,0.026147469878196716
clip132.mov,726.8470458984375,0.02712993696331978
clip133.mov,358.27392578125,0.02360537461936474
clip134.mov,306.6371154785156,0.02144150249660015
clip135.mov,305.1262512207031,0.019066331908106804
clip136.mov,422.618408203125,0.01909221149981022
clip137.mov,314.5511779785156,0.020047007128596306
clip138.mov,381.5040588378906,0.021432969719171524
clip139.mov,427.2582092285156,0.018616797402501106
clip140.mov,245.90240478515625,0.013218038715422153
clip141.mov,387.5627746582031,0.014098785817623138
clip142.mov,612.4530639648438,0.011791370809078217
clip143.mov,413.9320373535156,0.014754615724086761
clip144.mov,422.9410095214844,0.011912200599908829
clip145.mov,453.5420837402344,0.013997114263474941
clip146.mov,307.6041259765625,0.011285625398159027
clip147.mov,334.0187683105469,0.011602319777011871
clip148.mov,551.5039672851562,0.016963215544819832
clip149.mov,697.4215087890625,0.01908392272889614
clip150.mov,364.6658020019531,0.013703488744795322
clip151.mov,493.4718017578125,0.014109206385910511
clip152.mov,491.50238037109375,0.016005055978894234
clip153.mov,686.2300415039062,0.024459997192025185
clip154.mov,693.2066040039062,0.028200965374708176
clip155.mov,455.7992248535156,0.0360376201570034
clip156.mov,728.7786254882812,0.031462252140045166
clip157.mov,720.6795043945312,0.029956230893731117
clip158.mov,594.8897094726562,0.013610534369945526
clip159.mov,614.1907958984375,0.0002852700126823038
clip160.mov,755.78369140625,0.000641565362457186
clip161.mov,779.527587890625,0.005601076874881983
clip162.mov,607.10400390625,0.001574391615577042
clip163.mov,387.8531799316406,0.0012203030055388808
clip164.mov,338.6829528808594,0.0013741570292040706
clip165.mov,333.35418701171875,0.0015572377014905214
clip166.mov,336.6347961425781,0.001891783089376986
clip167.mov,343.30596923828125,0.0021352667827159166
clip168.mov,347.96343994140625,0.001869114814326167
clip169.mov,379.2725524902344,0.004346046131104231
clip170.mov,663.4676513671875,0.0026246467605233192
clip171.mov,1352.280517578125,0.0016206811415031552
clip172.mov,1056.9368896484375,0.0031020897440612316
clip173.mov,712.3966674804688,0.0030805382411926985
clip174.mov,387.53436279296875,0.003168392227962613
clip175.mov,534.6638793945312,0.0017781282076612115
clip176.mov,360.62799072265625,0.004492679610848427
clip177.mov,451.5831604003906,0.0019432196859270334
clip178.mov,451.04058837890625,0.001714392681606114
clip179.mov,870.8993530273438,0.0022967266850173473
clip180.mov,743.9229736328125,0.002607297385111451
clip181.mov,364.6496276855469,0.001984536647796631
clip182.mov,383.36297607421875,0.001660614856518805
clip183.mov,515.19775390625,0.004396465141326189
clip184.mov,319.229248046875,0.0031182626262307167
clip185.mov,284.9448547363281,0.0029507779981940985
clip186.mov,411.5032653808594,0.0037225126288831234
clip187.mov,434.0102233886719,0.0033538746647536755
clip188.mov,404.20037841796875,0.0036564331967383623
clip189.mov,360.5893859863281,0.0031407612841576338
clip190.mov,337.9089050292969,0.005386639386415482
clip191.mov,332.88671875,0.004545418545603752
clip192.mov,330.973876953125,0.003384142881259322
clip193.mov,381.3268127441406,0.002415581839159131
clip194.mov,263.71624755859375,0.004309848882257938
clip195.mov,521.0682373046875,0.003355446271598339
clip196.mov,391.04656982421875,0.0028200617525726557
clip197.mov,462.48333740234375,0.0028304883744567633
clip198.mov,514.8803100585938,0.0025716994423419237
clip199.mov,391.26287841796875,0.002741551026701927
