Clip_Filename,Average_H,Average_S,Average_V
clip221.mov,98.3506696234809,166.89416440610523,50.96719091344763
clip222.mov,97.55822281448933,194.03820748788328,46.40653828938802
clip223.mov,97.00423342104312,169.9325407127098,46.132404807761866
clip224.mov,98.27050150553386,179.1946348967376,56.89098020200376
clip225.mov,98.24539779097948,178.24242296006946,46.471292837637435
clip226.mov,98.39720725730615,175.27024468315975,42.21884740758826
clip227.mov,97.06489734790942,182.24928159360533,39.301874276620374
clip228.mov,95.85941553186485,192.71837153682,32.08960259331597
clip229.mov,99.20005898622195,176.00235515477246,36.723826093380616
clip230.mov,98.73448848017934,178.94021730776186,42.578960006148726
clip231.mov,98.63591738100403,184.93117311830875,39.96200805664063
clip232.mov,96.69555530689377,178.15420823838977,38.425621903030965
clip233.mov,97.88295706289786,179.1270118317781,40.10279287832754
clip234.mov,98.90948522497109,180.351368295175,40.9113365568938
clip235.mov,97.39594249584059,177.87422236689815,39.723862101236975
clip236.mov,99.7771489348235,175.44540866427948,49.37809362340857
clip237.mov,98.92447227195457,179.8858647099247,39.75847868742767
clip238.mov,98.74759752061631,181.07347545482492,39.86337922272858
clip239.mov,99.24650937680849,174.61016142668544,52.86034977665653
clip240.mov,99.17368695294414,173.14471607349535,55.371659975405095
clip241.mov,99.10824892397277,171.72748869719328,54.68147092466
clip242.mov,98.62693537959348,172.5109596082899,50.9579901575159
clip243.mov,92.11561279296875,184.7169453034578,37.152259069372114
clip244.mov,94.68427257396559,173.00147153501158,45.69553188747829
clip245.mov,84.62909823947484,149.87254297327112,40.59005827727142
clip246.mov,18.302710073965567,182.97936806007672,77.31663922345199
clip247.mov,16.222846679687496,190.97132075557002,89.02687224211515
clip248.mov,14.251533022280087,213.22221785933888,78.6955611843533
clip249.mov,13.93796816225405,218.39060824924036,71.81487858525027
clip250.mov,14.584473972185286,204.86458215591753,84.59717958130173
clip251.mov,14.481696302625872,203.4595384385851,83.83186794704862
clip252.mov,15.235540387188948,204.97648432978875,79.71550953052662
clip253.mov,16.012512455692992,211.27197670265477,70.17846550835505
clip254.mov,11.485432219328702,228.01158510561342,74.88917344835069
clip255.mov,14.803426852756074,206.11552121762875,69.89728199146411
clip256.mov,16.334140805844907,199.46632023564095,72.14756033438225
clip257.mov,14.390304361979167,212.01990532769096,77.9412957763672
clip258.mov,11.612904866536455,232.47156645598236,69.86910667136863
clip259.mov,15.720608362268521,216.99676387080441,69.0827528889974
clip260.mov,13.280267740885419,229.39333084671588,79.70584648980034
clip261.mov,20.045433824327255,209.98714425546154,77.46544571487993
clip262.mov,18.59551463939525,213.73778376826542,76.86389506022135
clip263.mov,15.111103063512724,214.4545648419415,74.19643832736544
clip264.mov,13.168830408166954,218.47914232042103,72.1538569019459
clip265.mov,16.31315945095486,214.53940813982925,65.47498229980467
