,camera_cut,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,drift_14,drift_15,drift_16,drift_17,drift_18,constant
72,0.9999999999999998,0.06451394469879808,0.05819480515132064,0.04811734853989081,0.03493239373133861,0.01949144698151577,0.0027917102486133016,-0.014088319763692576,-0.030058502712628724,-0.04408745768824347,-0.055269171503669466,-0.06288151052984006,-0.06643285728330028,-0.06569385989889934,-0.06071224405374514,-0.05180973076379805,-0.03956125910691342,-0.024757855703348965,-0.008355548904286915,1.0
74,0.9999999999999998,0.06439505508593789,0.057735026918962574,0.04714045207910316,0.033333333333333326,0.0172546030068347,-1.0720817664510909e-17,-0.017254603006834724,-0.03333333333333335,-0.04714045207910319,-0.057735026918962595,-0.06439505508593789,-0.06666666666666667,-0.06439505508593787,-0.057735026918962574,-0.047140452079103154,-0.033333333333333305,-0.017254603006834707,4.696542665520148e-17,1.0
76,0.9999999999999998,0.06427302694894067,0.057263993128710965,0.04614287825802712,0.03170828060468502,0.014996736956257676,-0.002791710248613308,-0.020379686997540374,-0.03650421489950334,-0.050007404642030635,-0.05991960308661112,-0.06552902327663694,-0.06643285728330028,-0.06256620151730373,-0.054206717403135186,-0.041954692736655856,-0.026689935503793016,-0.009508595580367454,0.008355548904286948,1.0
78,0.9999999999999998,0.06414786623528569,0.05678179560953651,0.045125064645510714,0.03005850271262872,0.012720599691769661,-0.005578522888821036,-0.023456109893646784,-0.039561259106913424,-0.052677000825046026,-0.06181225697111915,-0.0662767309314877,-0.06573306913803366,-0.06022235285755339,-0.050160993926381625,-0.0363092690010018,-0.019713870002936455,-0.0016288118768435726,0.01657932581099033,1.0
80,0.9999999999999998,0.06401957904512953,0.056288528366801004,0.04408745768824345,0.028385286104338176,0.010428964336015395,-0.008355548904286959,-0.02647652604231871,-0.04249493264991265,-0.05513870495163746,-0.06340376775301024,-0.06663377069104877,-0.06457221074190873,-0.05738280180026291,-0.04563647372857924,-0.030266033315969793,-0.012492087639048308,0.006273887554567633,0.024541636845645216,1.0
82,0.9999999999999998,0.06388817163100888,0.05578428756393077,0.043030512514930036,0.026689935503792995,0.008124622893676499,-0.011117916447740163,-0.029433723519449676,-0.045296086950767776,-0.057382801800262916,-0.0646863817517331,-0.06659803798604765,-0.06295842468249874,-0.05407092126595511,-0.04067634426008452,-0.023891196636353324,-0.005114601875121233,0.01408831976369257,0.03211691160678105,1.0
84,0.9999999999999998,0.0637536503975357,0.05526917150366944,0.04195469273665583,0.02497377289439413,0.005810382849843876,-0.013860779387850637,-0.0323206413497558,-0.04795598668924341,-0.0594004349458912,-0.06565385020081387,-0.0661697434427548,-0.06090303050950672,-0.05031397201485146,-0.03532795094888033,-0.017254603006834707,0.0023266331135000855,0.021704543630477142,0.03918568348616491,1.0
86,0.9999999999999998,0.06361602190108512,0.0547432806089136,0.04086047024353176,0.02323813648812101,0.003489063749529583,-0.016579325810990336,-0.03513038636644517,-0.05046633704345044,-0.061183641712265424,-0.06630145969121823,-0.06535141164144811,-0.05842044533625756,-0.046142878258027105,-0.02964234527899516,-0.010428964336015345,0.009738868570827472,0.029015406624821844,0.045636473728579284,1.0
88,0.9999999999999998,0.06347529284947591,0.05420671740313518,0.039748324997707724,0.021484379682034076,0.0011634937624855732,-0.019268786462964767,-0.03785624967020673,-0.0528193095570127,-0.06272538459694836,-0.06662605513460639,-0.0641478662352857,-0.055528082714006645,-0.04159197311395908,-0.023673797493875846,-0.0034890637495296204,0.01702971719571935,0.03591805233379087,0.05136754951838596,1.0
90,0.9999999999999998,0.0633314701016435,0.053659586490394276,0.038618744822845254,0.019713870002936448,-0.0011634937624855652,-0.021924443115905544,-0.04049172264821912,-0.055007566551886336,-0.06401957904512953,-0.06662605513460639,-0.06256620151730373,-0.05224623048838932,-0.03669871600566639,-0.017479278576057626,0.0034890637495295965,0.02410830467213948,0.04231536754681783,0.05628852836680098,1.0
